forecast_date,target,target_end_date,location,age_group,type,quantile,value,pathogen
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,60-79,quantile,0.9,387,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,60-79,quantile,0.975,398,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,80+,quantile,0.025,188,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,80+,quantile,0.1,189,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,80+,quantile,0.25,190,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,80+,quantile,0.5,192,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,80+,quantile,0.75,194,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,80+,quantile,0.9,196,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,80+,quantile,0.975,199,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,00-04,quantile,0.025,14,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,00-04,quantile,0.1,14,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,00-04,quantile,0.25,14,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,00-04,quantile,0.5,14,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,00-04,quantile,0.75,16,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,00-04,quantile,0.9,17,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,00-04,quantile,0.975,20,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,00+,quantile,0.025,1096,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,00+,quantile,0.1,1106,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,00+,quantile,0.25,1116,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,00+,quantile,0.5,1129,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,00+,quantile,0.75,1145,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,00+,quantile,0.9,1162,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,00+,quantile,0.975,1184,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,05-14,quantile,0.025,21,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,05-14,quantile,0.1,21,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,05-14,quantile,0.25,21,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,05-14,quantile,0.5,22,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,05-14,quantile,0.75,24,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,05-14,quantile,0.9,26,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,05-14,quantile,0.975,28,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,15-34,quantile,0.025,147,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,15-34,quantile,0.1,147,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,15-34,quantile,0.25,148,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,15-34,quantile,0.5,149,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,15-34,quantile,0.75,151,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,15-34,quantile,0.9,153,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,15-34,quantile,0.975,157,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,35-59,quantile,0.025,380,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,35-59,quantile,0.1,384,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,35-59,quantile,0.25,388,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,35-59,quantile,0.5,394,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,35-59,quantile,0.75,401,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,35-59,quantile,0.9,409,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,35-59,quantile,0.975,419,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,60-79,quantile,0.025,343,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,60-79,quantile,0.1,346,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,60-79,quantile,0.25,350,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,60-79,quantile,0.5,355,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,60-79,quantile,0.75,362,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,60-79,quantile,0.9,368,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,60-79,quantile,0.975,378,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,80+,quantile,0.025,189,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,80+,quantile,0.1,191,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,80+,quantile,0.25,193,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,80+,quantile,0.5,195,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,80+,quantile,0.75,198,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,80+,quantile,0.9,201,COVID-19
2021-07-01,-24 day ahead inc hosp,2021-06-07,DE,80+,quantile,0.975,206,COVID-19
2021-07-01,-23 day ahead inc hosp,2021-06-08,DE,00-04,quantile,0.025,18,COVID-19
2021-07-01,-23 day ahead inc hosp,2021-06-08,DE,00-04,quantile,0.1,18,COVID-19
2021-07-01,-23 day ahead inc hosp,2021-06-08,DE,00-04,quantile,0.25,18,COVID-19
2021-07-01,-23 day ahead inc hosp,2021-06-08,DE,00-04,quantile,0.5,18,COVID-19
2021-07-01,-23 day ahead inc hosp,2021-06-08,DE,00-04,quantile,0.75,19,COVID-19
2021-07-01,-23 day ahead inc hosp,2021-06-08,DE,00-04,quantile,0.9,20,COVID-19
2021-07-01,-23 day ahead inc hosp,2021-06-08,DE,00-04,quantile,0.975,22,COVID-19
2021-07-01,-23 day ahead inc hosp,2021-06-08,DE,00+,quantile,0.025,1044,COVID-19
2021-07-01,-23 day ahead inc hosp,2021-06-08,DE,00+,quantile,0.1,1052,COVID-19
2021-07-01,-23 day ahead inc hosp,2021-06-08,DE,00+,quantile,0.25,1061,COVID-19
2021-07-01,-23 day ahead inc hosp,2021-06-08,DE,00+,quantile,0.5,1071,COVID-19
2021-07-01,-23 day ahead inc hosp,2021-06-08,DE,00+,quantile,0.75,1084,COVID-19
2021-07-01,-23 day ahead inc hosp,2021-06-08,DE,00+,quantile,0.9,1097,COVID-19
2021-07-01,-23 day ahead inc hosp,2021-06-08,DE,00+,quantile,0.975,1113,COVID-19
