date,location,age_group,value
2020-11-24,GM13,60-79,291
2020-11-24,GM13,80+,343
2020-11-24,GM14,00-04,0
2020-11-24,GM14,00+,198
2020-11-24,GM14,05-14,2
2020-11-24,GM14,15-34,13
2020-11-24,GM14,35-59,49
2020-11-24,GM14,60-79,65
2020-11-24,GM14,80+,69
2020-11-24,GM15,00-04,1
2020-11-24,GM15,00+,240
2020-11-24,GM15,05-14,2
2020-11-24,GM15,15-34,8
2020-11-24,GM15,35-59,25
2020-11-24,GM15,60-79,92
2020-11-24,GM15,80+,112
2020-11-23,GM,00-04,60
2020-11-23,GM,00+,8048
2020-11-23,GM,05-14,55
2020-11-23,GM,15-34,606
2020-11-23,GM,35-59,1665
2020-11-23,GM,60-79,2848
2020-11-23,GM,80+,2814
2020-11-23,GM10,00-04,0
2020-11-23,GM10,00+,88
2020-11-23,GM10,05-14,2
2020-11-23,GM10,15-34,12
2020-11-23,GM10,35-59,24
2020-11-23,GM10,60-79,30
2020-11-23,GM10,80+,20
2020-11-23,GM04,00-04,2
2020-11-23,GM04,00+,140
2020-11-23,GM04,05-14,0
2020-11-23,GM04,15-34,3
2020-11-23,GM04,35-59,35
2020-11-23,GM04,60-79,49
2020-11-23,GM04,80+,51
2020-11-23,GM06,00-04,2
2020-11-23,GM06,00+,386
2020-11-23,GM06,05-14,2
2020-11-23,GM06,15-34,41
2020-11-23,GM06,35-59,90
2020-11-23,GM06,60-79,132
2020-11-23,GM06,80+,119
2020-11-23,GM03,00-04,0
2020-11-23,GM03,00+,69
2020-11-23,GM03,05-14,1
2020-11-23,GM03,15-34,3
2020-11-23,GM03,35-59,19
2020-11-23,GM03,60-79,19
2020-11-23,GM03,80+,27
2020-11-23,GM07,00-04,17
2020-11-23,GM07,00+,1895
2020-11-23,GM07,05-14,14
2020-11-23,GM07,15-34,172
2020-11-23,GM07,35-59,462
2020-11-23,GM07,60-79,668
2020-11-23,GM07,80+,562
2020-11-23,GM05,00-04,10
2020-11-23,GM05,00+,833
2020-11-23,GM05,05-14,4
2020-11-23,GM05,15-34,73
2020-11-23,GM05,35-59,194
2020-11-23,GM05,60-79,289
2020-11-23,GM05,80+,263
2020-11-23,GM08,00-04,2
2020-11-23,GM08,00+,265
2020-11-23,GM08,05-14,1
2020-11-23,GM08,15-34,18
2020-11-23,GM08,35-59,53
2020-11-23,GM08,60-79,98
2020-11-23,GM08,80+,93
2020-11-23,GM01,00-04,7
2020-11-23,GM01,00+,1044
2020-11-23,GM01,05-14,8
2020-11-23,GM01,15-34,87
2020-11-23,GM01,35-59,194
2020-11-23,GM01,60-79,364
2020-11-23,GM01,80+,384
2020-11-23,GM02,00-04,6
2020-11-23,GM02,00+,1293
2020-11-23,GM02,05-14,4
2020-11-23,GM02,15-34,94
2020-11-23,GM02,35-59,252
2020-11-23,GM02,60-79,441
2020-11-23,GM02,80+,496
2020-11-23,GM09,00-04,0
2020-11-23,GM09,00+,63
2020-11-23,GM09,05-14,0
2020-11-23,GM09,15-34,2
2020-11-23,GM09,35-59,12
2020-11-23,GM09,60-79,19
2020-11-23,GM09,80+,30
2020-11-23,GM16,00-04,7
2020-11-23,GM16,00+,505
2020-11-23,GM16,05-14,5
2020-11-23,GM16,15-34,47
2020-11-23,GM16,35-59,105
2020-11-23,GM16,60-79,189
2020-11-23,GM16,80+,152
2020-11-23,GM11,00-04,1
2020-11-23,GM11,00+,225
2020-11-23,GM11,05-14,2
2020-11-23,GM11,15-34,9
2020-11-23,GM11,35-59,44
2020-11-23,GM11,60-79,80
2020-11-23,GM11,80+,89
2020-11-23,GM12,00-04,1
2020-11-23,GM12,00+,73
2020-11-23,GM12,05-14,0
2020-11-23,GM12,15-34,3
